                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0085,                 1.0797,                 1.2691,                0.69565,                 0.6732,                0.72154,                0.52198,                 1.0638,                 1.0316,                 1.2562,             0.00038507,             0.00038507,             0.00038507
                     35,                 1.0043,                 1.0755,                 1.2664,                0.69856,                0.63156,                0.70974,                0.51286,                 1.0755,                 1.0538,                 1.2686,             0.00036307,             0.00036307,             0.00036307
                     36,                0.98298,                 1.0409,                 1.2532,                0.67194,                0.66412,                0.70347,                0.51342,                 1.0638,                 1.0387,                 1.2572,             0.00034108,             0.00034108,             0.00034108
                     37,                0.99909,                 1.0413,                 1.2586,                0.66431,                0.67062,                0.71148,                 0.5157,                 1.0759,                 1.0543,                  1.258,             0.00031908,             0.00031908,             0.00031908
                     38,                 0.9766,                 1.0208,                 1.2452,                0.70621,                 0.6618,                0.70652,                0.51097,                 1.0677,                 1.0315,                 1.2581,             0.00029708,             0.00029708,             0.00029708
                     39,                0.97427,                 1.0169,                  1.247,                0.72754,                0.64234,                 0.7157,                0.52155,                 1.0533,                 1.0378,                 1.2589,             0.00027508,             0.00027508,             0.00027508
                     40,                0.97363,                 1.0119,                 1.2454,                0.68281,                0.68923,                0.71851,                0.51631,                 1.0623,                 1.0149,                 1.2541,             0.00025309,             0.00025309,             0.00025309
                     41,                0.91805,                0.85175,                 1.2209,                0.71976,                0.66494,                0.70968,                0.51365,                 1.0457,                 1.0286,                 1.2386,             0.00023109,             0.00023109,             0.00023109
                     42,                 0.8973,                0.79965,                 1.2065,                0.74103,                0.63842,                0.71776,                0.52599,                 1.0581,                 1.0296,                 1.2451,             0.00020909,             0.00020909,             0.00020909
                     43,                0.88593,                0.77902,                 1.1915,                0.71017,                0.66092,                0.70993,                0.51631,                 1.0668,                 1.0557,                 1.2567,             0.00018709,             0.00018709,             0.00018709
                     44,                0.87484,                0.77152,                 1.1899,                0.69259,                0.66447,                0.70086,                 0.5115,                 1.0558,                 1.0627,                 1.2469,             0.00016509,             0.00016509,             0.00016509
                     45,                0.86522,                0.75176,                 1.1806,                0.73113,                0.63289,                0.70595,                0.51751,                 1.0604,                 1.0672,                 1.2517,              0.0001431,              0.0001431,              0.0001431
                     46,                0.85698,                0.74574,                 1.1764,                0.72438,                 0.6306,                0.70244,                0.51751,                 1.0626,                 1.0692,                 1.2533,              0.0001211,              0.0001211,              0.0001211
                     47,                 0.8465,                0.72013,                 1.1709,                0.70881,                0.65043,                0.70445,                 0.5208,                 1.0548,                 1.0736,                 1.2459,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.83648,                0.70717,                 1.1622,                0.73493,                0.62926,                0.70958,                0.52303,                 1.0568,                  1.077,                 1.2457,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.83569,                0.70095,                 1.1636,                0.72435,                0.63504,                 0.7036,                 0.5194,                 1.0585,                 1.0811,                 1.2491,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.82874,                0.69294,                 1.1535,                0.73714,                0.62663,                0.69899,                 0.5165,                 1.0586,                 1.0869,                 1.2499,             3.3108e-05,             3.3108e-05,             3.3108e-05
